Reference, Structure, Fingerprint, Rotation #
pose1, pose2, 0.6829268292682927, 
pose1, pose3, 0.6222222222222222, 
pose1, pose4, 0.7619047619047619, 
pose1, pose5, 0.7906976744186046, 
pose1, pose6, 0.6285714285714286, 
pose1, pose7, 0.5116279069767442, 
pose1, pose8, 0.7272727272727273, 
pose2, pose3, 0.7894736842105263, 
pose2, pose4, 0.6285714285714286, 
pose2, pose5, 0.7222222222222222, 
pose2, pose6, 0.7142857142857143, 
pose2, pose7, 0.7777777777777778, 
pose2, pose8, 0.918918918918919, 
pose3, pose4, 0.6666666666666666, 
pose3, pose5, 0.6, 
pose3, pose6, 0.6875, 
pose3, pose7, 0.7, 
pose3, pose8, 0.7317073170731707, 
pose4, pose5, 0.7567567567567568, 
pose4, pose6, 0.7586206896551724, 
pose4, pose8, 0.5789473684210527, 
pose5, pose6, 0.6666666666666666, 
pose5, pose7, 0.5263157894736842, 
pose5, pose8, 0.6666666666666666, 
pose6, pose7, 0.6, 
pose6, pose8, 0.6451612903225806, 
pose7, pose8, 0.717948717948718, 
